transfer_bits,bandwidth_bits,jitter_ms,cnt_missingdatagrams,cnt_datagrams,cnt_errorrate,cnt_outoforders
864,6912,0.13,19,-54,-36,-20
-13480,-107840,-0.98,7,42,16,1
-32922,-263376,0.73,8,-91,-9,-36
24844,198752,-0.42,-22,-58,37,27
-1672,-13376,0.76,-23,31,-75,10
6198,49584,0.15,-4,-5,80,1
-23080,-184640,0.88,-48,-81,59,2
44807,358456,0.11,7,10,70,0
-49000,-392000,-0.14,3,3,100,1
17866,142928,-0.66,42,82,51,-2
29949,239592,-0.88,-17,-43,39,19
-44,-352,-0.19,-6,16,-38,1
39155,313240,0.47,-70,-94,74,12
-47395,-379160,-0.16,39,-93,-42,-42
4191,33528,-0.12,-8,13,-62,-3
22577,180616,0.79,11,-25,-44,-5
-20104,-160832,-0.01,41,99,41,20
-734,-5872,0.08,-5,10,-50,-4
47259,378072,-0.59,7,24,29,-1
9564,76512,-0.84,-34,-53,64,-12
-45402,-363216,0.48,-3,-4,75,-2
-41559,-332472,-1.0,4,14,28,6
-27181,-217448,0.71,54,76,71,9
-27065,-216520,-0.63,40,100,40,-46
38100,304800,0.66,-4,4,-100,2
6748,53984,0.87,-26,-73,35,1
38067,304536,-0.98,9,68,13,4
3597,28776,-1.0,23,-24,-96,1
15721,125768,-0.54,44,63,69,-10
-29466,-235728,-0.6,-94,-100,94,-13
-5296,-42368,0.71,-2,9,-23,-2
-10123,-80984,-0.94,-17,-17,100,9
2476,19808,-0.82,3,-90,-4,-6
-10422,-83376,0.36,2,65,3,-28
4379,35032,-0.96,-17,-24,70,-9
-5824,-46592,0.61,29,-44,-66,-2
16470,131760,-0.5,-6,84,-8,2
10944,87552,-0.89,4,-82,-5,-19
-18161,-145288,1.0,1,-6,-17,0
-27510,-220080,0.25,9,13,69,6
-22158,-177264,0.72,3,12,25,-5
5689,45512,0.55,26,73,35,-16
-33245,-265960,-0.1,38,-70,-55,-16
8479,67832,0.09,3,-3,-100,-1
37725,301800,-0.1,-12,-79,15,-40
13384,107072,0.72,12,28,42,-7
-6324,-50592,-0.94,20,28,71,10
6738,53904,0.19,40,-97,-42,1
26792,214336,-0.79,-68,89,-77,33
-5004,-40032,0.92,81,-83,-98,-38
-27524,-220192,-0.07,-9,9,-100,2
36393,291144,-0.85,-7,-29,24,-12
32253,258024,-0.84,45,67,67,29
6074,48592,-0.24,3,-79,-4,40
37106,296848,-0.31,-7,-21,33,-9
-30557,-244456,-0.33,-5,-32,15,-2
-25190,-201520,0.42,6,6,100,2
-43864,-350912,0.7,15,66,22,26
19062,152496,0.43,-4,-63,6,28
-45515,-364120,0.82,21,39,53,9
-26675,-213400,0.39,4,-44,-10,-12
-7937,-63496,-0.34,-73,-88,82,-37
-30783,-246264,-0.13,19,22,86,7
28944,231552,0.69,63,-77,-82,-26
41231,329848,-0.73,1,35,2,-6
27266,218128,-0.62,-4,-10,40,-3
37714,301712,-0.4,44,78,56,12
-48224,-385792,0.14,-46,-67,68,1
39770,318160,-0.81,-20,-86,23,42
5021,40168,0.65,-22,31,-71,1
-35821,-286568,-0.11,-10,10,-100,-2
-30870,-246960,-0.28,15,49,30,15
-32379,-259032,-0.71,-64,-100,64,-3
-12879,-103032,-0.31,14,-18,-78,-6
48061,384488,0.91,-13,57,-23,1
-10105,-80840,-0.64,-8,25,-32,-9
45468,363744,0.77,6,6,100,0
43547,348376,-0.5,-5,-13,38,5
31950,255600,0.77,63,87,72,-41
21366,170928,0.42,-1,-9,11,-5
29199,233592,-0.87,10,28,35,-4
-31456,-251648,-0.98,-2,-22,9,5
14618,116944,-0.88,-20,-42,47,9
3179,25432,0.67,2,20,10,0
-35060,-280480,0.93,-31,33,-94,-10
85,680,-0.12,9,-12,-75,5
-47434,-379472,0.24,-62,84,-74,-18
16872,134976,0.79,12,18,66,7
4954,39632,0.91,-34,57,-60,-10
-11102,-88816,-0.34,43,-48,-90,-10
-1913,-15304,-0.38,-72,-97,74,-17
49185,393480,-0.71,-40,41,-98,-18
-21983,-175864,-0.62,51,-52,-99,23
44025,352200,0.67,2,17,11,3
-8723,-69784,-0.83,-59,-97,60,20
48148,385184,-0.63,-10,-24,41,5
-22245,-177960,-0.84,-28,-68,41,13
-39827,-318616,0.37,-32,-93,34,-47
25468,203744,0.29,9,60,15,-20
42785,342280,-0.95,21,66,31,1
-38656,-309248,0.42,18,63,28,-21
-1390,-11120,-0.93,-58,-98,59,-48
-28610,-228880,0.19,-11,-12,91,2
27918,223344,-0.76,42,-56,-75,25
29205,233640,0.07,36,47,76,-17
16056,128448,0.58,63,-88,-72,-25
4466,35728,0.45,-30,-32,93,-15
-12995,-103960,-0.27,-11,-46,23,1
-16737,-133896,0.08,1,-3,-34,2
-16596,-132768,0.67,-41,-73,56,12
49717,397736,-0.71,2,-14,-15,0
14408,115264,-0.56,-15,39,-39,-15
43133,345064,-0.67,40,-56,-72,-7
48994,391952,0.04,33,33,100,-4
6106,48848,0.18,-64,-70,91,-2
30252,242016,-0.42,-10,-16,62,-8
-8786,-70288,0.61,-5,-95,5,-8
-11638,-93104,0.58,34,91,37,8
23366,186928,-0.79,-10,-70,14,-27
-42255,-338040,-0.62,-1,-93,1,-25
25993,207944,-0.04,-58,-94,61,-18
14712,117696,-0.83,52,-75,-70,-27
-30234,-241872,0.31,-33,-37,89,9
-9871,-78968,-0.34,28,80,35,25
34366,274928,-0.28,-27,73,-37,-3
-31191,-249528,-0.06,44,47,93,20
-36531,-292248,0.31,-65,-67,97,18
-15781,-126248,-0.89,-3,-74,4,-30
-29953,-239624,0.5,-45,72,-63,20
-33070,-264560,0.64,59,65,90,17
37089,296712,-0.28,-9,-13,69,-6
-13157,-105256,-0.2,36,54,66,20
5544,44352,0.21,-12,-38,31,-18
-30360,-242880,0.34,19,-84,-23,8
25544,204352,0.94,13,-81,-17,-15
16043,128344,0.54,15,74,20,-36
